img,camera_short_name,camera_long_name,counter,suspect,eye,height,width,areaDisc,saturationPixels,saturationLevel,scale,g,b,factor,M,P,C
G-TPC0001-R.jpg,TPC,Topcon,1,1,R,1934,1956,70095,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0002-L.jpg,TPC,Topcon,2,1,L,1934,1956,58620,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0003-L.jpg,TPC,Topcon,3,1,L,1934,1956,58703,1100,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0004-R.jpg,TPC,Topcon,4,1,R,1934,1956,59826,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0005-L.jpg,TPC,Topcon,5,1,L,1934,1956,50247,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0006-L.jpg,TPC,Topcon,6,1,L,1934,1956,42455,4975,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0007-R.jpg,TPC,Topcon,7,1,R,1934,1956,63612,13907,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0008-R.jpg,TPC,Topcon,8,1,R,1934,1956,43305,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0009-L.jpg,TPC,Topcon,9,1,L,1934,1956,70805,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0010-R.jpg,TPC,Topcon,10,1,R,1934,1956,62480,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0011-L.jpg,TPC,Topcon,11,1,L,1934,1956,54208,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0012-R.jpg,TPC,Topcon,12,1,R,1934,1956,60659,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0013-R.jpg,TPC,Topcon,13,1,R,1934,1956,69087,31920,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0014-L.jpg,TPC,Topcon,14,1,L,1934,1956,74457,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0015-R.jpg,TPC,Topcon,15,1,R,1934,1956,45008,0,0,1081,1,1,0.9985,64.52,18,62.85
G-TPC0016-R.jpg,TPC,Topcon,16,1,R,1934,1956,42733,3303,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0017-L.jpg,TPC,Topcon,17,1,L,1934,1956,52194,4891,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0018-R.jpg,TPC,Topcon,18,1,R,1934,1956,54361,8034,99,1081,1,1,0.9985,64.52,18,62.85
G-TPC0019-R.jpg,TPC,Topcon,19,1,R,1934,1956,44434,2428,99,1081,1,1,0.9985,64.52,18,62.85
